Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,asok01,chipseq,1702600,FASTQC,85945806,25098,83.0,469643264,101480694,1904453,6,100179968,2191360,4550504448,16106127360,471183360,85945806,287873850,287873850
train-1,asok01,chipseq,14298700,FASTQC,748229782,110557,103.0,1042530304,763796783,1910478,6,748298240,2191360,4476399616,16106127360,1042530304,748229782,2403651367,2403651367
train-1,asok01,chipseq,3405200,FASTQC,171591665,28519,119.7,678322176,187122857,1902776,6,171597824,2105344,4476399616,16106127360,678322176,171591665,575743734,575743734
train-1,asok01,chipseq,212900,FASTQC,10734726,5457,192.3,233947136,26282256,1939584,6,10735616,2154496,4552601600,16106127360,233947136,10734726,35999394,35999394
train-1,asok01,chipseq,13620777,FASTQC,683568161,105543,103.0,1040068608,699116373,1916749,6,683573248,2232320,4476399616,16106127360,1040068608,683568161,2302988576,2302988576
train-1,asok01,chipseq,1787400,FASTQC,94140088,17501,131.0,566988800,109706822,1939212,6,94146560,2150400,4552601600,16106127360,566988800,94140088,300472219,300472219
train-1,asok01,chipseq,223500,FASTQC,11751671,5458,193.6,226951168,27317265,1938619,6,11755520,2142208,4552601600,16106127360,226951168,11751671,37571177,37571177
test,asok01,chipseq,27241477,FASTQC,1207988328,195619,101.3,1044635648,1223534660,1913181,6,1207996416,2240512,4478496768,16106127360,1044635648,1207988328,4605965334,4605965334
test,asok01,chipseq,28597378,FASTQC,1334020879,212568,101.2,1042681856,1349589412,1914429,6,1334026240,2256896,4476399616,16106127360,1042681856,1334020879,4807293396,4807293396
train-1,asok01,chipseq,3574700,FASTQC,187899130,30591,119.3,657518592,203461663,1928378,6,187904000,2162688,4476399616,16106127360,657518592,187899130,600924066,600924066
train-1,asok01,chipseq,425700,FASTQC,21494257,6517,181.5,227590144,37032391,1919568,6,21495808,2134016,4552601600,16106127360,227590144,21494257,71979269,71979269
train-1,asok01,chipseq,446900,FASTQC,23529629,6465,182.5,221622272,39097521,1942479,6,23531520,2150400,4552601600,16106127360,221622272,23529629,75125401,75125401
train-1,asok01,chipseq,7149400,FASTQC,374895855,57530,106.8,1110274048,390455521,1921135,6,374902784,2146304,4556795904,16106127360,1110274048,374895855,1201839227,1201839227
