Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
train-1,local,bacass,424000,NFCORE_BACASS:BACASS:SKEWER,85109040,116000,108.9,9191424,602669495,589544803,8,87371776,362082304,585056256,8589934592,9191424,85109040,227409168,227409168
train-1,local,bacass,847800,NFCORE_BACASS:BACASS:SKEWER,170150021,229000,109.7,9682944,1204929557,1178785846,8,170156032,724021248,585220096,8589934592,9682944,170150021,454712168,454712168
train-1,local,bacass,212000,NFCORE_BACASS:BACASS:SKEWER,42560238,57000,109.1,9265152,301389841,294780472,8,42565632,181030912,585056256,8589934592,9265152,42560238,113703568,113703568
train-1,local,bacass,212000,NFCORE_BACASS:BACASS:FASTQC,42560238,9000,132.6,425619456,64467712,3589601,8,51757056,3952640,5183877120,8589934592,425664512,42560238,113703568,113703568
train-1,local,bacass,424000,NFCORE_BACASS:BACASS:FASTQC,85109040,6000,235.6,719998976,106858259,3580001,8,0,3952640,5252038656,8589934592,724779008,85109040,227409168,227409168
train-1,local,bacass,106000,NFCORE_BACASS:BACASS:FASTQC,21260709,4000,282.6,417370112,42977566,3575355,8,21266432,3948544,5252038656,8589934592,420491264,21260709,56851168,56851168
train-1,local,bacass,847800,NFCORE_BACASS:BACASS:FASTQC,170150021,10000,241.0,1046274048,191907256,3598793,8,0,3969024,5257592832,8589934592,1046274048,170150021,454712168,454712168
train-1,local,bacass,53000,NFCORE_BACASS:BACASS:FASTQC,10628739,4000,295.4,384790528,32345799,3570143,8,10633216,3952640,5256216576,8589934592,384790528,10628739,28424968,28424968
train-1,local,bacass,1695400,NFCORE_BACASS:BACASS:SKEWER,340242074,456000,109.2,10534912,2409915107,2357857590,8,340254720,1448497152,585461760,8589934592,10534912,340242074,909318168,909318168
train-1,local,bacass,3390800,NFCORE_BACASS:BACASS:SKEWER,680404480,916000,109.2,10649600,4819184161,4715067710,8,680726528,2896375808,585461760,8589934592,10649600,680404480,1818637168,1818637168
train-1,local,bacass,3390800,NFCORE_BACASS:BACASS:FASTQC,680404480,29000,194.2,1441550336,702142668,3616951,8,50012160,3989504,5171957760,8589934592,1441550336,680404480,1818637168,1818637168
train-1,local,bacass,106000,NFCORE_BACASS:BACASS:SKEWER,21260709,29000,110.0,4407296,150744449,147406627,8,1605632,90509312,34713600,8589934592,4407296,21260709,56851168,56851168
train-1,local,bacass,53000,NFCORE_BACASS:BACASS:SKEWER,10628739,14000,110.5,4861952,75411604,73693051,8,434176,45223936,36859904,8589934592,4861952,10628739,28424968,28424968
train-1,local,bacass,1695400,NFCORE_BACASS:BACASS:FASTQC,340242074,15000,222.6,1429446656,362005369,3611128,8,229376,3973120,5171957760,8589934592,1430626304,340242074,909318168,909318168
train-1,local,bacass,26600,NFCORE_BACASS:BACASS:SKEWER,5343351,7000,107.5,4829184,37923437,37015990,8,5345280,22695936,36859904,8589934592,4829184,5343351,14265368,14265368
train-1,local,bacass,13400,NFCORE_BACASS:BACASS:SKEWER,2692721,4000,107.1,4677632,19179640,18683407,8,2695168,11456512,36859904,8589934592,4677632,2692721,7185768,7185768
train-1,local,bacass,6800,NFCORE_BACASS:BACASS:SKEWER,1370834,2000,103.8,4898816,9816025,9524165,8,1372160,5836800,36859904,8589934592,4898816,1370834,3645968,3645968
train-1,local,bacass,26600,NFCORE_BACASS:BACASS:FASTQC,5343351,4000,289.6,405254144,27065201,3583132,8,0,3964928,5252038656,8589934592,413388800,5343351,14265368,14265368
train-1,local,bacass,13400,NFCORE_BACASS:BACASS:FASTQC,2692721,3000,300.8,372916224,24459329,3625353,8,0,3989504,5252038656,8589934592,378425344,2692721,7185768,7185768
train-1,local,bacass,6800,NFCORE_BACASS:BACASS:FASTQC,1370834,3000,301.3,354992128,23105335,3635445,8,0,4009984,5252038656,8589934592,356900864,1370834,3645968,3645968
train-1,local,bacass,424000,NFCORE_BACASS:BACASS:UNICYCLER,85109040,1009000,665.9,2076278784,4682677763,15819169550,8,191590400,15942078464,8760516608,16106127360,2190516224,72059696,217943058,227409168
